Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
USDT,ETHUSDT,TRADE,BUY,-49.97475000000000000000,0.00000000000000000000,3507.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-49.97475000000000000000,-49.97475000000000000000,94.61016000200000000000,--,2024-06-22 03:33:02
BTC,BTCUSDT,TRADE,BUY,0.00003500000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,-0.00000003500000000000,0.00003500000000000000,0.00003496500000000000,0.00108791100000000000,--,2024-06-22 03:23:57
USDT,BTCUSDT,TRADE,BUY,-2.24945000000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-2.24945000000000000000,-2.24945000000000000000,144.58491000200000000000,--,2024-06-22 03:23:57
BTC,BTCUSDT,TRADE,BUY,0.00074200000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,-0.00000074200000000000,0.00074200000000000000,0.00074125800000000000,0.00105294600000000000,--,2024-06-22 03:23:57
USDT,BTCUSDT,TRADE,BUY,-47.68834000000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-47.68834000000000000000,-47.68834000000000000000,146.83436000200000000000,--,2024-06-22 03:23:57
USDT,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,194.52270000000000000000,194.52270000000000000000,194.52270000200000000000,--,2024-06-22 03:22:35
SOL,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00079000000000000000,-0.00079000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.12952516000000000000,0.12952516000000000000,0.16578045000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00046551000000000000,0.00046551000000000000,0.03625529000000000000,--,2024-06-07 12:12:32
W,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00072000000000000000,-0.00072000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
